Obs_No,AR #,Obs_Year,Year Live,DaysSinceLive,Reported Number of Employees,EE Year Count,ARR Year Growth,ARR Start,ARR_EndOfYear,BumpOut75K,growth_percent,Product 1,Product 2 ,Product 3,Product 4,Product 5,Product 6,Product 7,Product 8,Product 9,Product 10,Product 11,Product 12,Product 13,Product 14,Product 15,Product 16,Product 17,Product 18,Total Product Count,Industry: Agriculture and Natural Resources,Industry: Construction,Industry: Education,Industry: Finance and Insurance,Industry: Healthcare,Industry: Manufacturing,"Industry: Non-Profits, Membership and Human Services",Industry: Public Sector,Industry: Real Estate,Industry: Restaurants and Hospitality,Industry: Retail,Industry: Sports &Entertainment,"Industry: Technology, Professional, and Business Services",Industry: Transportation and Warehousing ,Industry: Utilities and Mining ,Industry: Wholesale Trade,Category_Account Health,RefNo_Cumulative,Connections Attendance,Training Hours,Training Students,Percent of Book,ACT Score,BI Score,Ave P_Score,Model 
27,ALP1000,0,2000,6026,351,404,-1960,16483,14523,0,-0.118910393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,42,5,4.779411765,121.538827,2.483383,62.011105,1
28,ALP1000,1,2000,6391,351,339,1365,14523,15888,0,0.093988845,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,42,5,4.551820728,109.1067,4.205837,56.6562685,1
29,ALP1002,0,2011,1795,313,257,15030,52790,67820,0,0.284713014,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,97,18,1.562727314,95.848342,122.579457,124.3730451,1
30,ALP1002,1,2011,2160,313,305,-759,67820,67061,0,-0.011191389,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,97,18,1.443604113,106.274068,80.800513,150.7343727,1
31,ALP1004,1,2015,822,182,154,7127,44640,51767,0,0.159655018,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,90,23,1.604166667,85.291752,42.77985,154.6901183,1
32,ALP1007,1,2017,181,162,135,6060,67032,73092,0,0.090404583,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,98.5,10,1.039205156,76.559501,15.12839,59.171444,1
33,AMC1002,0,2012,1634,183,199,3503,49973,53476,0,0.070097853,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,90.5,13,1.330827194,119.513589,8.959742,127.3992972,1
34,AMC1002,1,2012,1999,183,222,-7411,53476,46065,0,-0.138585534,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,90.5,13,1.38739414,127.280943,10.06945,155.4421437,1
35,AME1019,0,2000,5730,1090,683,2023,69092,71115,0,0.029279801,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2.402135231,69.708232,455.73785,162.2240095,1
36,AME1019,1,2000,6095,1090,703,75432,71115,146547,1,1.060704493,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2.402135231,69.72163,443.141281,153.428705,1
37,AME1022,0,2002,5021,371,350,7078,72526,79604,1,0.097592587,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.984474533,103.50318,39.297752,105.4171503,1
38,AME1063,0,2014,826,185,204,-668,60252,59584,0,-0.011086769,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,130,28,1.452499502,123.156171,14.698899,174.3416902,1
39,AME1063,1,2014,1191,185,187,4878,59584,64462,0,0.081867615,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,132,29,1.346380416,111.290772,14.934926,117.25625,1
40,AME1078,0,2016,87,166,230,-180,66960,66780,0,-0.002688172,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,49,9,1.483870968,178.251484,3.220499,94.1049598,1
41,AME1078,1,2016,452,166,176,-1764,66780,65016,0,-0.026415094,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,51.5,13,1.138544474,134.416706,46.955412,103.3896168,1
42,ANC1000,0,2016,3,594,332,41256,65100,106356,1,0.633732719,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.325529954,31.794421,1.044294,10.5949,1
43,AND1005,0,2010,2285,181,170,-2448,49872,47424,0,-0.049085659,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,85,13,1.216915303,105.656827,409.822284,184.2488958,1
44,AND1005,1,2010,2650,181,182,936,47424,48360,0,0.019736842,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,102,21,1.277960526,107.011765,295.910088,145.4457762,1
45,AND1006,1,2016,425,382,450,-5195,74148,68953,0,-0.070062578,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,5,1.966337595,90.160235,1.088233,97.725264,1
46,ANG1000,0,2006,3732,1656,1602,-540,66740,66200,0,-0.0080911,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,96,12,4.480284805,70.270909,3.119669,24.82907625,1
47,ANG1000,1,2006,4097,1656,1549,693,66200,66893,0,0.010468278,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,98,14,4.430406134,63.036753,2.527326,26.81130025,1
48,ANG1001,0,2016,53,564,292,20388,73296,93684,1,0.27815979,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.529796988,53.586258,9.450085,15.00594833,1
49,ANI5000,1,2016,214,243,250,5869,36926,42795,0,0.158939501,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,61,14,0.812426882,53.513165,1.088233,27.300699,1
50,ANN1002,0,2016,80,167,174,991,57209,58200,0,0.017322449,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,5,1.131439071,95.602484,37.051318,38.495235,1
51,ANN1002,1,2016,445,167,173,-1223,58200,56977,0,-0.021013746,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,5,1.105780036,100.657414,78.651736,127.5780906,1
53,ANS1002,0,2016,172,277,233,228,73512,73740,0,0.003101534,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.445315051,93.935713,5.982936,88.84534617,1
54,ANS1002,1,2016,537,277,233,15545,73740,89285,1,0.210808245,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1.440846216,90.152127,9.013782,63.51607125,1
55,APE1001,0,2011,1704,323,289,-7619,56078,48459,0,-0.135864332,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,44.5,15,1.901669759,112.747583,13.459072,78.76997571,1
56,APE1001,1,2011,2069,323,282,8719,48459,57178,0,0.179925298,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,44.5,15,1.798184358,98.668253,12.534861,78.840197,1
57,APO1001,0,2007,3108,1188,1100,1512,30490,32002,0,0.04959003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.493932437,9.036163,20.710224,14.8731935,1
58,APO1001,1,2007,3473,1188,1100,6418,32002,38420,0,0.200549966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.187113305,30.368201,21.551926,25.9600635,1
59,APP1006,0,2013,914,141,137,5420,56369,61789,0,0.09615214,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,245,50,0.867651598,113.704477,98.235325,62.95030275,1
60,APP1006,1,2013,1279,141,147,-3235,61789,58554,0,-0.052355597,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,251,56,0.849323183,113.931384,35.696869,96.99720413,1
61,ARB1002,1,2017,87,145,137,7880,61428,69308,0,0.128280263,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,55.26,13,1.130738425,96.835714,2.243227,25.3097378,1
62,ARC1021,1,2017,180,222,247,11492,72036,83528,1,0.159531345,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.48125937,160.407529,4.515544,99.42074925,1
63,ARG1003,1,2017,117,57,65,120,36096,36216,0,0.003324468,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.92,1,0.93459109,127.812932,278.365872,151.6142618,1
64,ARK1003,0,2009,2376,201,212,1427,40824,42251,0,0.034954928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,2,1.355379189,117.399945,20.864894,81.461632,1
65,ARK1003,1,2009,2741,201,210,430,42251,42681,0,0.010177274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,2,1.297257228,109.114867,3.016428,70.06545533,1
66,ARM1000,0,2003,4846,446,482,-741,42397,41656,0,-0.017477652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,114,14,2.182810368,51.555074,36.712384,44.133729,1
67,ARM1000,1,2003,5211,446,452,-184,41656,41472,0,-0.004417131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,116.5,16,2.083333333,90.224552,16.256893,53.2407225,1
68,ARR1000,0,2011,1828,389,323,5771,62902,68673,0,0.09174589,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1.608280346,86.431536,29.68352,115.2738254,1
69,ARR1000,1,2011,2193,389,351,24687,68673,93360,1,0.359486261,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1.600832473,89.863597,14.173698,98.6306832,1
70,ART1006,1,2016,450,226,213,16883,72168,89051,1,0.233940251,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1.275024942,99.31666,351.765159,170.5725665,1
71,ASC1002,0,2008,2824,89,83,-4530,25824,21294,0,-0.175418216,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,10,2,0.694237918,109.463268,8.115299,99.75344633,1
72,ASC1002,1,2008,3189,89,98,0,21294,21294,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,10,2,0.99408284,87.775146,15.497482,51.636314,1
73,ASI1001,0,2010,2097,149,161,5136,58080,63216,0,0.088429752,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,12,1,0.856559917,123.107045,21.880451,85.24076267,1
74,ASI1001,1,2010,2462,149,157,9552,63216,72768,0,0.151100987,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,12,1,0.767416477,120.878333,8.334862,64.6065975,1
75,ASK1000,1,2016,311,243,250,-309,65127,64818,0,-0.004744576,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10.5,6,1.289787646,108.236766,9.434634,118.0400185,1
76,ASS1012,0,2016,178,379,355,3540,74757,78297,1,0.047353425,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1.823508166,104.853274,23.483954,50.42555133,1
77,ASU1000,0,2015,459,495,567,2611,65184,67795,0,0.040055842,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0.62628866,118.126318,2.203171,60.1647445,1
78,ASU1000,1,2015,824,495,544,16381,67795,84176,1,0.241625489,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.57774513,105.282006,15.12839,105.282006,1
79,ATC1002,0,2007,3234,501,462,22620,68217,90837,1,0.3315889,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1.361264803,98.033299,8.826519,84.85114433,1
80,ATE1000,0,2015,546,122,129,5400,60060,65460,0,0.08991009,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,100,13,0.689460539,94.348432,8.180305,87.97408417,1
81,ATE1000,1,2015,911,122,112,6607,65460,72067,0,0.100931867,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,102.5,14,0.590284143,80.021456,6.363839,59.96702933,1
82,ATE1001,0,2016,172,198,187,-9891,62070,52179,0,-0.159352344,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,41.5,10,1.337651039,92.358842,404.397194,183.0020513,1
83,ATE1001,1,2016,537,198,189,1640,52179,53819,0,0.031430269,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,43.5,11,1.347429328,91.192439,295.458379,115.3611813,1
84,ATL1004,0,2013,914,247,295,49129,70746,119875,1,0.694442089,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.38855907,133.287734,16.256466,91.125905,1
85,AUE1000,1,2016,309,242,226,4359,69053,73412,0,0.063125425,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,32,14,1.492412815,100.716228,443.141281,118.3325523,1
86,AUS1001,0,2004,4249,849,739,3564,56797,60361,0,0.062749793,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2.849441806,89.017811,1.044294,96.9154924,1
87,AUS1001,1,2004,4614,849,739,3763,60361,64124,0,0.062341578,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2.68119846,85.685226,1.425539,98.72240275,1
88,AUS1002,0,2007,3462,981,954,1911,54000,55911,0,0.035388889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3.23299521,93.869886,6.230252,45.88917975,1
89,AUS1002,1,2007,3827,981,940,50699,55911,106610,1,0.906780419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.076658922,97.568595,6.824521,54.91631333,1
90,AVA1002,1,2017,179,164,125,924,54096,55020,0,0.017080745,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.84,3,1.109139308,76.000431,289.32743,103.3309949,1
91,AVE1002,0,2016,171,190,72,552,57732,58284,0,0.009561422,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,50,10,0.493868219,39.133315,23.472131,48.3954655,1
92,AVE1002,1,2016,536,190,168,1716,58284,60000,0,0.029442042,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,78.5,21,1.141445337,82.863008,42.822503,95.4633258,1
93,AXI1001,0,2015,332,159,134,108,55896,56004,0,0.00193216,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,199,31,1.028445685,105.883079,73.371975,115.3876327,1
